Bter_ID,Mated_3,Mated_4,Mated_17,Mated_18,Mated_22,Diapause_33,Diapause_34,Diapause_35,Diapause_36,Diapause_37,Founder_Diapause_40,Founder_Diapause_41,Founder_Diapause_42,Founder_Diapause_80,Founder_Diapause_83
LOC100648657,388,154,493,275,565,402,705,654,692,1442,119,647,373,530,549
LOC100651062,1399,425,1308,915,1442,1244,2838,2338,1883,2837,568,1032,1293,601,563
LOC100643361,512,193,642,733,493,657,1665,1568,2134,1444,52,589,378,373,741
LOC100650542,109,15,161,78,187,237,58,58,33,79,106,143,157,282,227
LOC100646815,99,42,221,116,217,191,171,142,139,350,27,133,93,167,136
LOC100651218,40,10,71,38,55,51,163,119,122,102,23,63,42,52,49
LOC100651210,430,142,876,418,880,868,443,325,309,848,1975,661,1461,1153,975
LOC100652212,144,52,346,131,453,492,174,140,89,233,664,382,363,839,595
LOC100645686,50,2,79,29,81,97,5,3,0,12,36,41,12,65,51
LOC100644356,88,17,101,66,129,147,55,36,38,46,104,115,158,151,125
LOC100643907,1,2,5,3,1,4,34,24,1,12,1,2,0,1,0
LOC100643430,318,83,381,377,328,350,691,577,715,547,68,246,226,193,268
LOC100644045,183,57,303,161,305,309,230,185,219,262,368,195,174,465,381
LOC100644774,37,17,61,47,93,114,29,30,21,53,75,93,81,214,176
LOC100642681,81,25,110,72,147,191,63,56,40,114,150,176,127,367,192
LOC100648895,17,0,34,17,40,45,13,7,1,42,48,26,27,63,32
LOC100647908,468,117,859,431,1078,1389,287,257,269,592,1791,1065,1897,2442,1843
LOC100645839,207,23,488,284,181,169,379,342,409,500,97,67,78,91,65
LOC100642999,48,16,68,58,80,95,249,178,259,321,36,37,59,73,71
LOC100652331,1628,238,2905,1762,3156,3674,1018,1067,757,1759,7495,4801,5480,5327,4465
LOC100647948,6641,1540,9305,13350,3701,4751,10779,7603,12034,3940,156,1608,421,441,1403
LOC100642679,292,45,526,310,456,599,138,123,167,268,427,754,652,948,767
LOC100650267,657,196,754,617,553,440,1690,1469,1630,1315,56,319,109,142,272
LOC100645391,7,2,1,3,5,6,8,9,5,12,30,3,0,3,15
LOC100642256,1344,251,2328,1440,2522,2237,584,492,476,984,8134,4015,5819,6304,4604
LOC100649562,81,38,104,106,99,190,46,28,22,50,103,216,144,290,198
LOC100646106,139,68,6,14,2,53,3,31,101,10,17,206,3298,32,1120
LOC100647442,3,0,13,3,16,12,3,7,2,6,24,6,5,10,13
LOC100649472,39,5,69,106,38,17,6,7,6,12,2,9,7,12,11
LOC100646380,567,100,1144,670,1198,1076,678,521,586,868,1034,917,1185,1664,1181
LOC100642743,402,88,289,140,639,611,86,60,79,123,3623,1093,2384,3193,1939
LOC100643843,532,91,916,594,822,916,593,477,448,707,1487,844,856,982,708
LOC100651117,82,16,117,80,189,141,81,59,65,149,302,110,180,386,243
LOC100645617,324,67,387,230,466,633,455,386,351,623,704,515,540,920,701
LOC100647766,36,11,85,25,90,216,46,30,20,48,380,125,146,496,378
LOC100645320,89,17,124,98,173,214,121,88,52,208,507,192,239,506,384
LOC100648341,591,230,1120,540,1112,1128,812,673,888,1218,1125,1117,1073,1946,1664
LOC100651696,107,44,220,109,271,285,103,101,77,209,427,287,257,538,393
LOC100651123,252,53,304,228,302,416,185,185,182,260,385,387,602,428,392
LOC100649609,275,79,516,220,484,714,265,221,181,451,473,387,666,881,755
LOC100651032,252,49,372,199,391,553,356,297,373,428,665,499,528,805,510
LOC100646379,486,108,813,584,657,683,518,395,507,776,881,688,888,754,652
LOC100650513,125,42,242,104,321,322,112,76,64,182,390,216,297,571,457
LOC100644315,51,12,111,57,128,85,20,29,5,47,151,68,130,215,139
LOC100646673,1329,337,1927,1227,2400,2996,1038,954,921,1514,10208,3249,6975,4472,3646
LOC100645095,404,68,819,375,809,832,333,267,276,480,1004,798,527,1612,1066
LOC100647991,468,115,553,403,526,503,689,605,541,695,135,302,269,228,274
LOC100644159,1301,252,1569,1014,2420,3056,526,413,411,794,2325,2283,4138,3085,2446
LOC100648398,394,123,776,436,808,857,568,386,415,881,540,665,892,1148,912
LOC100643480,570,16,1313,1083,774,105,681,691,435,686,13,11,35,23,28
LOC100651240,375,78,352,342,327,259,616,397,536,677,61,194,167,141,207
LOC100644256,198,70,349,262,299,227,414,307,459,552,63,167,102,203,239
